Network,Aliases,Category,Marked,Philo,Sling Orange,Sling Blue,Sling Orange + Blue,AT&T TV Entertainment,AT&T TV Choice,AT&T TV Ultimate,AT&T TV Premier,YouTube TV,Hulu with Live TV,Fubo TV,KlowdTV,Frndly TV,Vidgo,Tvision Live TV,Tvision Live TV+,Tvision Live Zone,Tvision Vibe,Placeholder4,Placeholder5,Placeholder6,Placeholder7,Spectrum TV Essentials,Philo Chosen,Sling Orange Chosen,Sling Blue Chosen,Sling Orange + Blue Chosen,AT&T TV Entertainment Chosen,AT&T TV Choice Chosen,AT&T TV Ultimate Chosen,AT&T TV Premier Chosen,YouTube TV Chosen,Hulu with Live TV Chosen,Fubo TV Chosen,KlowdTV Chosen,Frndly TV Chosen,Vidgo Chosen,Tvision Live TV Chosen,Tvision Live TV+ Chosen,Tvision Live Zone Chosen,Tvision Vibe Chosen,Placeholder4 Chosen,Placeholder5 Chosen,Placeholder6 Chosen,Placeholder7 Chosen,Spectrum TV Essentials Chosen,Network Chosen,Philo qualify,Sling Orange qualify,Sling Blue qualify,Sling Orange + Blue qualify,AT&T TV Entertainment qualify,AT&T TV Choice qualify,AT&T TV Ultimate qualify,AT&T TV Premier qualify,YouTube TV qualify,Hulu with Live TV qualify,Fubo TV qualify,KlowdTV qualify,Frndly TV qualify,Vidgo qualify,Tvision Live TV qualify,Tvision Live TV+ qualify,Tvision Live Zone qualify,Tvision Vibe qualify,Placeholder4 qualify,Placeholder5 qualify,Placeholder6 qualify,Placeholder7 qualify,Spectrum TV Essentials qualify,Highlight Network,Highlight Service,Highlight Result A,Highlight Result B,User Mark
Spectrum SportsNet LA,,Regional Sports,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Spectrum TV Essentials: cDVR,,Addon,,,,,,,,,,,,,,,,,,,,,,,,cDVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Spectrum TV Essentials: cDVR Plus,,Addon,,,,,,,,,,,,,,,,,,,,,,,,cDVR Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Sports Grid,,Sports,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Sportsman Channel,,Sports,,,Heartland Extra,Heartland Extra,Heartland Extra,,,Yes,Yes,,,Adventure Plus,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
SportsTime Ohio,,Regional Sports,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
SporTV,,International,,,,,,Brazillian (Portuguese),Brazillian (Portuguese),Brazillian (Portuguese),Brazillian (Portuguese),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Stadium,,Sports,,,Yes,Yes,Yes,,,,,Sports Plus,,Fubo Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Stadium 1,,Sports,,,,,,,,,,,,Fubo Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Stadium 2,,Sports,,,,,,,,,,,,Fubo Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Stadium 3,,Sports,,,,,,,,,,,,Fubo Extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Start TV,StartTV,Entertainment,,,Hollywood Extra,Hollywood Extra,Hollywood Extra,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz,,Premium movies,,Starz,Starz,Starz,Starz,Starz,Starz,Starz,Yes,Starz,Starz,Starz,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz Cinema,,Premium movies,,,,,,,,,,,,,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz Comedy,,Premium movies,,,Starz,Starz,Starz,,,,,,,Showtime + Starz + Epix,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz Edge,,Premium movies,,,Starz,Starz,Starz,,,,,,,Showtime + Starz + Epix,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz Encore,,Premium movies,,Starz,Starz,Starz,Starz,Starz,Starz,Yes,Yes,,,Showtime + Starz + Epix,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz Encore Action,,Premium movies,,,,,,Starz,Starz,Yes,Yes,,,,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz Encore Black,,Premium movies,,,,,,Starz,Starz,Yes,Yes,,,,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz Encore Classic,,Premium movies,,,,,,Starz,Starz,Yes,Yes,,,,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Starz Encore Español,Starz Encore Espanol,Premium movies,,,,,,,,,,,,Showtime + Starz + Epix,,,,Starz,Starz,Starz,Starz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
