Network,Aliases,Category,Marked,Philo,Sling Orange,Sling Blue,Sling Orange + Blue,DirecTV Stream Entertainment,DirecTV Stream Choice,DirecTV Stream Ultimate,DirecTV Stream Premier,YouTube TV,Hulu with Live TV,Fubo TV,KlowdTV,Frndly TV,Vidgo English Premium,Vidgo English Plus,Vidgo Spanish MAS,Placeholder3,Placeholder4,Placeholder4,Placeholder5,Placeholder6,Placeholder7,Spectrum TV Essentials,Philo Chosen,Sling Orange Chosen,Sling Blue Chosen,Sling Orange + Blue Chosen,DirecTV Stream Entertainment Chosen,DirecTV Stream Choice Chosen,DirecTV Stream Ultimate Chosen,DirecTV Stream Premier Chosen,YouTube TV Chosen,Hulu with Live TV Chosen,Fubo TV Chosen,KlowdTV Chosen,Frndly TV Chosen,Vidgo English Premium Chosen,Vidgo English Plus Chosen,Vidgo Spanish MAS Chosen,Placeholder3 Chosen,Placeholder4 Chosen,Placeholder4 Chosen,Placeholder5 Chosen,Placeholder6 Chosen,Placeholder7 Chosen,Spectrum TV Essentials Chosen,Network Chosen,Philo qualify,Sling Orange qualify,Sling Blue qualify,Sling Orange + Blue qualify,DirecTV Stream Entertainment qualify,DirecTV Stream Choice qualify,DirecTV Stream Ultimate qualify,DirecTV Stream Premier qualify,YouTube TV qualify,Hulu with Live TV qualify,Fubo TV qualify,KlowdTV qualify,Frndly TV qualify,Vidgo English Premium qualify,Vidgo English Plus qualify,Vidgo Spanish MAS qualify,Placeholder3 qualify,Placeholder4 qualify,Placeholder4 qualify,Placeholder5 qualify,Placeholder6 qualify,Placeholder7 qualify,Spectrum TV Essentials qualify,Highlight Network,Highlight Service,Highlight Result A,Highlight Result B,User Mark
Bally Sports San Diego,,Regional Sports,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bally Sports SoCal,,Regional Sports,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bally Sports South,,Regional Sports,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bally Sports Southeast,,Regional Sports,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bally Sports Southwest,,Regional Sports,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bally Sports Sun,,Regional Sports,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bally Sports West,,Regional Sports,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bally Sports Wisconsin,,Regional Sports,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bandamax,,Spanish,,,,,,Espanol,Espanol,Espanol,Espanol,Spanish Plus,,Entretenimiento Plus,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
BBC America,BBCA,Entertainment,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
BBC World News,BBC News,News,,Yes,News Extra,News Extra,News Extra,,,Yes,Yes,Yes,,Fubo Extra,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bein Laliga,beIN Sports Connect La Liga,Sports,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bein Sports,"Bein, Bein Sports English",Sports,,,Sports Extra,Sports Extra,Sports Extra,,,,,Sports Plus,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bein Sports Connect,Bein Connect n,Sports,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bein Sports Espanol,"Bein Sports En Español, Bein Sports Spanish, Bein Spanish, Bein Sports en Espanol, Bein Sports - Spanish",Sports,,,Best of Spanish TV,Best of Spanish TV,Best of Spanish TV,,,,,Spanish Plus,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Bein Sports Xtra,"BeinsportsXtra, bein sports extra",Sports,,,Best of Spanish TV,Best of Spanish TV,Best of Spanish TV,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
